iter	RMSE
399	3895183.245
400	3895117.315
401	3894372.474
402	3894146.754
403	3893484.517
404	3892637.572
405	3892012.404
406	3891164.336
407	3889945.903
408	3889496.586
409	3888188.177
410	3887368.343
411	3886552.942
412	3885461.338
413	3885087.966
414	3884387.349
415	3883668.009
416	3882933.856
417	3882894.323
418	3882354.48
419	3881658.213
420	3879597.763
421	3878927.415
422	3877568.984
423	3876542.538
424	3875866.483
425	3875106.855
426	3874770.584
427	3874552.388
428	3873407.991
429	3872720.089
430	3871573.482
431	3870843.931
432	3870785.72
433	3870336.903
434	3868741.327
435	3868104.891
436	3866182.268
437	3865734.903
438	3865059.326
439	3863976.8
440	3862478.722
441	3861509.019
442	3861179.003
443	3860763.195
444	3860140.978
445	3860115.698
446	3859499.947
447	3858903.394
448	3858042.069
449	3857103.837
450	3856289.745
451	3856275.581
452	3855752.505
453	3855217.129
454	3854644.726
455	3854302.311
456	3853962.698
457	3853664.178
458	3852978.536
459	3852582.326
460	3851737.215
461	3850964.844
462	3850402.984
463	3849726.192
464	3849199.61
465	3848961.295
466	3848121.037
467	3847393.742
468	3846777.429
469	3846386.276
470	3845758.283
471	3844386.625
472	3843084.722
473	3842594.224
474	3840964.953
475	3840702.681
476	3840095.736
477	3840021.008
478	3839846.891
479	3839680.763
480	3839671.009
481	3839397.029
482	3838868.562
483	3838520.69
484	3837333.972
485	3837260.684
486	3836911.292
487	3836318.179
488	3835967.85
489	3835718.998
490	3835523.814
491	3834705.955
492	3834450.024
493	3833862.22
494	3833601.314
495	3833499.321
496	3832839.501
497	3832275.251
498	3831823.829
499	3831672.836
500	3831397.227
501	3830672.56
502	3829350.242
503	3829029.215
504	3828390.236
505	3827965.577
506	3827666.211
507	3826843.075
508	3826760.567
509	3826535.23
510	3826020.428
511	3825380.659
512	3824557.252
513	3824210.068
514	3821961.311
515	3821358.599
516	3820218.572
517	3819950.253
518	3819508.875
519	3819291.084
520	3818342.333
521	3817561.643
522	3817252.45
523	3816784.078
524	3816150.411
525	3815612.985
526	3815192.342
527	3814107.709
528	3813635.376
529	3812733.939
530	3812687.814
531	3812673.947
532	3812034.705
533	3811223.366
534	3810788.204
535	3810488.041
536	3809622.084
537	3809034.605
538	3808201.957
539	3807690.54
540	3807227.44
541	3806697.301
542	3806057.522
543	3805814.858
544	3805705.848
545	3805239.572
546	3804939.607
547	3804627.775
548	3804032.916
549	3803569.122
550	3802810.605
551	3802181.114
552	3801956.092
553	3801621.383
554	3801342.989
555	3800964.491
556	3800734.714
557	3800437.877
558	3799812.426
559	3799357.908
560	3799027.299
561	3798856.286
562	3798747.174
563	3798480.893
564	3798010.18
565	3797713.097
566	3796792.342
567	3796507.071
568	3796068.051
569	3795647.973
570	3795232.046
571	3795011.997
572	3794769.024
573	3794620.12
574	3794231.315
575	3794201.361
576	3793985.788
577	3793253.621
578	3792943.191
579	3792728.257
580	3792174.511
581	3791826.541
582	3791344.164
583	3790834.962
584	3790080.502
585	3789827.107
586	3788689.391
587	3788351.49
588	3788275.038
589	3787738.573
590	3787673.23
591	3787248.589
592	3786565.864
593	3785830.575
594	3785427.828
595	3785251.472
596	3784958.731
597	3784107.212
598	3783662.084
599	3782958.99
600	3782324.989
601	3781964.197
602	3781147.746
603	3779974.688
604	3779622.966
605	3779448.113
606	3778532.875
607	3778290.473
608	3777861.271
609	3777143.392
610	3776412.98
611	3776179.725
612	3775786.591
613	3774406.392
614	3773975.635
615	3773684.778
616	3773310.23
617	3772623.197
618	3772004.329
619	3771383.676
620	3771079.019
621	3770805.742
622	3770386.831
623	3770308.804
624	3769980.779
625	3769841.48
626	3769228.976
627	3768797.133
628	3768667.386
629	3767920.169
630	3767724.778
631	3767319.798
632	3766999.768
633	3766396.802
634	3765907.847
635	3765694.457
636	3765435.343
637	3765306.555
638	3764776.256
639	3764010.051
640	3763704.28
641	3763440.631
642	3762755.645
643	3762719.362
644	3762563.652
645	3761924.498
646	3761457.586
647	3761283.364
648	3760984.465
649	3760798.434
650	3759964.507
651	3759632.984
652	3759008.048
653	3758733.554
654	3758473.037
655	3757844.271
656	3757656.002
657	3757273.557
658	3756561.36
659	3756045.492
660	3755756.814
661	3755296.36
662	3755254.361
663	3754866.822
664	3754650.893
665	3754307.203
666	3754114.94
667	3753693.091
668	3752963.233
669	3752327.952
670	3751917.43
671	3751820.02
672	3750929.4
673	3750699.948
674	3750471.286
675	3749763.836
676	3749321.012
677	3749129.072
678	3748893.964
679	3748563.72
680	3748129.717
681	3747896.278
682	3747183.119
683	3747033.169
684	3746328.615
685	3745689.542
686	3745337.566
687	3745205.879
688	3744287.286
689	3743850.917
690	3743712.925
691	3743427.033
692	3743122.872
693	3743065.409
694	3742736.943
695	3742236.024
696	3741901.37
697	3741316.021
698	3740878.73
699	3740307.286
700	3739686.586
701	3739184.998
702	3738597.233
703	3738482.593
704	3738105.767
705	3737459.302
706	3737098.834
707	3736853.799
708	3736523.678
709	3735955.301
710	3735470.912
711	3735076.053
712	3735003.39
713	3734492.288
714	3733655.671
715	3733492.993
716	3732948.001
717	3732497.773
718	3732253.717
719	3731762.467
720	3731022.526
721	3730493.565
722	3729193.774
723	3728989.791
724	3728323.541
725	3727811.928
726	3727578.573
727	3727219.233
728	3726781.669
729	3726248.477
730	3726181.424
731	3724923.992
732	3724862.351
733	3724760.906
734	3724300.235
735	3724149.466
736	3723716.584
737	3723131.402
738	3722694.233
739	3721776.253
740	3721493.44
741	3720982.466
742	3720582.727
743	3719997.388
744	3719765.918
745	3719380.304
746	3718790.751
747	3718438.055
748	3718272.729
749	3717692.017
750	3717100.934
751	3716816.026
752	3716507.566
753	3715949.899
754	3715677.495
755	3715470.29
756	3714867.706
757	3714592.244
758	3714104.971
759	3713741.64
760	3713332.076
761	3712592.62
762	3712118.165
763	3711703.907
764	3711486.593
765	3711463.12
766	3711243.488
767	3710546.224
768	3710033.78
769	3709780.784
770	3709602.473
771	3709152.085
772	3708605.132
773	3708456.893
774	3708306.089
775	3708148.866
776	3706735.822
777	3706176.202
778	3706125.631
779	3705701.965
780	3705484.488
781	3705223.259
782	3704795.19
783	3704346.697
784	3704283.935
785	3703971.312
786	3703693.607
787	3703094.95
788	3702580.476
789	3702166.68
790	3701697.808
791	3701413.67
792	3700526.419
793	3700262.834
794	3699888.411
795	3699567.244
796	3699283.405
797	3699105.344
798	3698626.934
799	3698571.351
800	3698030.019
801	3697455.307
802	3697187.781
803	3696897.402
804	3696595.71
805	3696408.805
806	3696278.473
807	3695936.58
808	3695368.933
809	3695098.042
810	3694731.968
811	3694185.644
812	3693582.626
813	3693282.803
814	3692577.449
815	3692132.778
816	3691646.756
817	3690842.319
818	3690367.194
819	3689954.417
820	3689820.951
821	3689638.84
822	3689407.35
823	3688563.323
824	3687782.588
825	3687521.617
826	3687481.845
827	3687429.749
828	3687124.411
829	3687057.39
830	3686510.947
831	3686083.395
832	3685958.582
833	3685770.199
834	3685429.393
835	3685299.549
836	3685014.804
837	3684973.157
838	3684578.506
839	3684268.686
840	3683736.54
